,Campanya,Any,Any_List
0,"Quan separem bé, els residus es transformen",2025-2026,"[2025, 2026]"
1,"Kit digital de comunicació per a ens locals Que s'emportin la teva brossa no té preu, però sí un cost",2025,[2025]
2,El tèxtil té molta vida,2025,[2025]
3,"RECI-CLAR, ES CLAR. És massa evident per no fer-ho - 2a edició",2024 2025,"[2024, 2025]"
4,"RECI-CLAR, ES CLAR. És massa evident per no fer-ho",2023-2024,"[2023, 2024]"
5,"Campanya: 10 anys després, reciclem més!",2022-2023,"[2022, 2023]"
6,Campanya: El missatge és antic. El canvi és més urgent que mai,maig 2022,[2022]
7,"Campanya: Tria bé, separem millor!",2021-2022,"[2021, 2022]"
8,S'ACABA EL MALSON de les bosses de plàstic d'un sol ús,2019-2020,"[2019, 2020]"
9,Reciclem bé. Separem bé,2019-2020,"[2019, 2020]"
10,Campanya per a fomentar la recollida selectiva dels residus d'aparells elèctrics i electrònics Canvia el xip. Recicla'ls!,2019-2020,"[2019, 2020]"
11,Fes-lo nou de nou,Abril 2019,[2019]
12,"Et necessitem, recicla",2018-2019,"[2018, 2019]"
13,Campanya per fomentar la recollida selectiva d'aparells elèctrics i electrònics en desús,2016-2017-2018-2019,"[2016, 2017, 2018, 2019]"
14,Campanya per fomentar la recollida selectiva de la fracció orgànica,2017-2018,"[2017, 2018]"
15,Campanya REACCIONA (2a onada)_,2017,[2017]
16,Campanya informativa de la prohibició del lliurament gratuït de bosses de plàstic,2016,[2016]
17,"Campanya 'Redueix, Reutilitza, Recicla, REACCIONA'",2016,[2016]
19,Campanya per fomentar la recollida selectiva de piles: Missió: Les piles al planeta reciclatge,2014,[2014]
20,Som Gent de Profit,2014,[2014]
21,Campanya Vol bossa? No gràcies!,2014,[2014]
22,Separar bé els residus és un joc de nens,Desembre 2013 - Gener 2014,"[2013, 2014]"
23,Campanya per fomentar la recollida selectiva dels residus d'aparells elèctrics i electrònics,Novembre-desembre 2013,[2013]
24,Campanya per fomentar la correcta separació dels residus de piles i acumuladors,Setembre 2013,[2013]
25,"Envàs, on vas?",Desembre 2012-gener 2013,"[2012, 2013]"
27,L'orgànica al compostador,Maig 2011,[2011]
28,L'orgànica al marró,Juliol 2010,[2010]
29,Campanya: La revolució dels petits gestos continua. Quins són els vostres?,Juliol 2010,[2010]
30,"Gràcies als petits gestos i a la recollida selectiva de la fracció orgànica, cuidarem encara més el medi ambient",Octubre 2009,[2009]
31,Aquí reduïm,Novembre 2008,[2008]
32,Aquí reciclem,2007-2008,"[2007, 2008]"
35,Campanya reciclar residus ens fa viure,desembre 2005,[2005]
36,Dóna una vida nova als envasos,desembre 2005,[2005]
37,El vidre pot tenir moltes vides,desembre 2005,[2005]
