,Campanya,Any
0,"Quan separem bé, els residus es transformen",2025
0,"Quan separem bé, els residus es transformen",2026
1,"Kit digital de comunicació per a ens locals Que s'emportin la teva brossa no té preu, però sí un cost",2025
2,El tèxtil té molta vida,2025
3,"RECI-CLAR, ES CLAR. És massa evident per no fer-ho - 2a edició",2024
3,"RECI-CLAR, ES CLAR. És massa evident per no fer-ho - 2a edició",2025
4,"RECI-CLAR, ES CLAR. És massa evident per no fer-ho",2023
4,"RECI-CLAR, ES CLAR. És massa evident per no fer-ho",2024
5,"Campanya: 10 anys després, reciclem més!",2022
5,"Campanya: 10 anys després, reciclem més!",2023
6,Campanya: El missatge és antic. El canvi és més urgent que mai,2022
7,"Campanya: Tria bé, separem millor!",2021
7,"Campanya: Tria bé, separem millor!",2022
8,S'ACABA EL MALSON de les bosses de plàstic d'un sol ús,2019
8,S'ACABA EL MALSON de les bosses de plàstic d'un sol ús,2020
9,Reciclem bé. Separem bé,2019
9,Reciclem bé. Separem bé,2020
10,Campanya per a fomentar la recollida selectiva dels residus d'aparells elèctrics i electrònics Canvia el xip. Recicla'ls!,2019
10,Campanya per a fomentar la recollida selectiva dels residus d'aparells elèctrics i electrònics Canvia el xip. Recicla'ls!,2020
11,Fes-lo nou de nou,2019
12,"Et necessitem, recicla",2018
12,"Et necessitem, recicla",2019
13,Campanya per fomentar la recollida selectiva d'aparells elèctrics i electrònics en desús,2016
13,Campanya per fomentar la recollida selectiva d'aparells elèctrics i electrònics en desús,2017
13,Campanya per fomentar la recollida selectiva d'aparells elèctrics i electrònics en desús,2018
13,Campanya per fomentar la recollida selectiva d'aparells elèctrics i electrònics en desús,2019
14,Campanya per fomentar la recollida selectiva de la fracció orgànica,2017
14,Campanya per fomentar la recollida selectiva de la fracció orgànica,2018
15,Campanya REACCIONA (2a onada)_,2017
16,Campanya informativa de la prohibició del lliurament gratuït de bosses de plàstic,2016
17,"Campanya 'Redueix, Reutilitza, Recicla, REACCIONA'",2016
19,Campanya per fomentar la recollida selectiva de piles: Missió: Les piles al planeta reciclatge,2014
20,Som Gent de Profit,2014
21,Campanya Vol bossa? No gràcies!,2014
22,Separar bé els residus és un joc de nens,2013
22,Separar bé els residus és un joc de nens,2014
23,Campanya per fomentar la recollida selectiva dels residus d'aparells elèctrics i electrònics,2013
24,Campanya per fomentar la correcta separació dels residus de piles i acumuladors,2013
25,"Envàs, on vas?",2012
25,"Envàs, on vas?",2013
27,L'orgànica al compostador,2011
28,L'orgànica al marró,2010
29,Campanya: La revolució dels petits gestos continua. Quins són els vostres?,2010
30,"Gràcies als petits gestos i a la recollida selectiva de la fracció orgànica, cuidarem encara més el medi ambient",2009
31,Aquí reduïm,2008
32,Aquí reciclem,2007
32,Aquí reciclem,2008
35,Campanya reciclar residus ens fa viure,2005
36,Dóna una vida nova als envasos,2005
37,El vidre pot tenir moltes vides,2005
