,any,Codi municipi,municipi,Comarca,Autocompostatge,Matèria orgànica,Poda i jardineria,Paper i cartró,Vidre,Envasos lleugers,Residus voluminosos + fusta,RAEE,Ferralla,Olis vegetals,Tèxtil,Runes,Residus en Petites Quantitats (RPQ),Piles,Medicaments,Altres recollides selectives,Total Recollida Selectiva,R.S. / R.M. % total,Kg/hab/any recollida selectiva,Resta a Dipòsit,Resta a Incineració,Resta a Tractament Mecànic Biològic,Resta (sense desglossar),Suma Fracció Resta,F.R. / R.M. %,Generació Residus Municipal Totals,Kg / hab / dia,Kg / hab / any,dones,homes,Poblacio total,Superfície (km²),densitat_poblacio,any_inicial_PaP,PaP,renda per habitant (€),num_campanyes,Es_PaP,Orgànica_Pct,Vidre_Pct,Envasos_Pct,Paper_Pct,Global_Pct
0,2000,250019,Abella de la Conca,Pallars Jussà,,0.0,0.01,6.16,6.32,0.6,1.19,,,,,,,0.01,0.01,0.5,14.79,13.65,79.53,,,,93.59,93.59,86.35,108.38,1.6,582.69,91.0,106.0,197.0,78.27,2.52,,No,,0,0,0.0,5.8313341945008315,0.5536076766931168,5.683705480715999,13.65
1,2000,80018,Abrera,Baix Llobregat,,369.82399999999996,32.66,170.18,110.68,31.71,10.3,,,,,,,0.73,0.33,148.32,504.91,7.14,72.1,,,,6565.1,6565.1,92.86,7070.01,2.77,1009.57,3974.0,4203.0,8177.0,19.94,410.08,,No,102.0,0,0,5.230883690404963,1.5654857631035886,0.44851421709445954,2.4070687311616252,7.14
2,2000,250024,Àger,Noguera,,42.89055555555555,,5.05,10.8,1.81,,,,,,,,0.01,0.03,0.51,18.21,5.58,32.94,,,,308.46,308.46,94.42,326.67,1.62,590.73,244.0,284.0,528.0,160.57,3.29,,No,,0,0,13.129627928966709,3.3060887133804755,0.5540759788165427,1.5459025928306853,5.58
3,2000,250030,Agramunt,Urgell,,291.0785,,49.03,82.6,10.89,,,,,,,,0.61,0.23,,143.36,7.45,29.11,,,,1781.76,1781.76,92.55,1925.13,1.07,390.89,2396.0,2506.0,4902.0,79.65,61.54,2021.0,No,,0,0,15.119939952107131,4.290619334798169,0.5656760842124947,2.546840992556347,7.45
4,2000,80023,Aguilar de Segarra,Bages,,9.355,,2.95,2.8,0.65,,,,,,,,,0.01,,6.41,4.4,31.12,,,,139.13,139.13,95.6,145.54,1.94,706.51,107.0,106.0,213.0,43.32,4.92,,No,,0,0,6.427786175621823,1.9238697265356604,0.4466126150886355,2.0269341761715,4.4
5,2000,170010,Agullana,Alt Empordà,,0.0,,7.53,10.8,1.17,,,,,,,,,0.03,,19.53,2.99,31.55,,,,633.47,633.47,97.01,653.0,2.89,1054.93,323.0,332.0,655.0,27.73,23.62,,No,,0,0,0.0,1.653905053598775,0.1791730474732006,1.1531393568147015,2.99
6,2000,80142,Aiguafreda,Vallès Oriental,,326.90411764705885,4.25,5.96,1.33,116.86458333333333,413.98,,,,,,,0.13,0.1,44.43,470.17,30.84,224.96,,,,1054.44,1054.44,69.16,1524.61,2.0,729.48,1093.0,1054.0,2147.0,7.9,271.77,2008.0,No,,0,0,21.44181906501065,0.08723542414125582,7.665211649755238,0.39091964502397336,30.84
7,2000,430017,Aiguamúrcia,Alt Camp,,45.082631578947364,,12.51,37.0,3.83,,,,,,,,,0.03,,53.37,11.33,86.92,,,,417.61,417.61,88.67,470.98,2.1,767.07,313.0,339.0,652.0,72.95,8.94,,No,,0,0,9.57209044523066,7.855959913372118,0.8131980126544652,2.6561637436833836,11.33
8,2000,170025,Aiguaviva,Gironès,,53.854,,13.76,7.77,2.19,4.69,,,,,,,,0.02,,28.43,6.7,65.82,,,,396.0,396.0,93.3,424.43,2.69,982.49,254.0,261.0,515.0,13.91,37.02,2021.0,No,,0,0,12.688546992436914,1.8306905732394032,0.5159861461253917,3.2419951464316843,6.7
9,2000,250387,Aitona,Segrià,,94.48421052631579,,12.25,11.4,30.431250000000002,,,,,,,,,0.1,,23.75,3.04,10.88,,,,757.84,757.84,96.96,781.59,0.98,358.04,1100.0,1086.0,2186.0,66.9,32.68,,No,,0,0,12.088717937322098,1.458565232410855,3.8935055463862125,1.5673179032485063,3.04
