,any,municipi,dones,homes,total
217,2000,Catalunya,3203371.0,3058628.0,6261999.0
1164,2001,Catalunya,3246029.0,3115336.0,6361365.0
2111,2002,Catalunya,3305411.0,3201029.0,6506440.0
3058,2003,Catalunya,3394296.0,3309850.0,6704146.0
4005,2004,Catalunya,3446990.0,3366329.0,6813319.0
4952,2005,Catalunya,3526971.0,3468235.0,6995206.0
5899,2006,Catalunya,3590991.0,3543706.0,7134697.0
6846,2007,Catalunya,3632332.0,3578176.0,7210508.0
7793,2008,Catalunya,3703050.0,3661028.0,7364078.0
8740,2009,Catalunya,3761655.0,3713765.0,7475420.0
9687,2010,Catalunya,3787866.0,3724515.0,7512381.0
10635,2011,Catalunya,3807422.0,3732196.0,7539618.0
11583,2012,Catalunya,3829280.0,3741628.0,7570908.0
12531,2013,Catalunya,3828332.0,3725318.0,7553650.0
13479,2014,Catalunya,3817163.0,3701740.0,7518903.0
14427,2015,Catalunya,3816361.0,3691745.0,7508106.0
15375,2016,Catalunya,3825228.0,3697368.0,7522596.0
16323,2017,Catalunya,3845630.0,3710200.0,7555830.0
17271,2018,Catalunya,3869739.0,3730326.0,7600065.0
18219,2019,Catalunya,3905094.0,3770123.0,7675217.0
19167,2020,Catalunya,3953515.0,3826964.0,7780479.0
20115,2021,Catalunya,3943531.0,3819831.0,7763362.0
21063,2022,Catalunya,3958825.0,3833786.0,7792611.0
22011,2023,Catalunya,4014740.0,3887223.0,7901963.0
22959,2024,Catalunya,4068533.0,3943698.0,8012231.0
