,Unnamed: 0,Data d'inici,Municipis,Àmbit Territorial,Cens 2024,Percentatge població servida amb el PaP,Fraccions recollides PaP,Horari de Recollida,habitants servits amb el PaP
0,1.0,2005-11-17,ALIÓ,Alt Camp,504.0,91.0,4 [FO+R+P/C+E],nocturn,45864.0
1,2.0,2005-11-17,BRÀFIM,Alt Camp,696.0,100.0,4 [FO+R+P/C+E],nocturn,696.0
2,3.0,2005-11-17,PONT D'ARMENTERA,Alt Camp,498.0,100.0,4 [FO+R+P/C+E],nocturn,498.0
3,4.0,2005-11-17,RODONYÀ,Alt Camp,521.0,70.0,4 [FO+R+P/C+E],nocturn,36470.0
4,5.0,2005-11-17,VILABELLA,Alt Camp,723.0,100.0,4 [FO+R+P/C+E],nocturn,723.0
5,6.0,2005-12-21,CABRA DE CAMP,Alt Camp,1321.0,38.0,4 [FO+R+P/C+E],nocturn,50198.0
6,7.0,2005-12-21,EL MILÀ,Alt Camp,197.0,100.0,4 [FO+R+P/C+E],nocturn,197.0
7,8.0,2005-12-21,FIGUEROLA DEL CAMP,Alt Camp,345.0,94.0,4 [FO+R+P/C+E],nocturn,32430.0
8,9.0,2005-12-21,LA MASÓ,Alt Camp,288.0,100.0,4 [FO+R+P/C+E],nocturn,288.0
9,10.0,2005-12-21,NULLES,Alt Camp,552.0,98.0,4 [FO+R+P/C+E],nocturn,54096.0
10,11.0,2006-01-12,PLA DE SANTA MARIA,Alt Camp,2389.0,93.0,5 [FO+R+V+P/C+E],nocturn,2221.77
11,12.0,2006-02-13,PUIGPELAT,Alt Camp,1205.0,100.0,4 [FO+R+P/C+E],nocturn,1205.0
12,13.0,2010-04-10,VILA-RODONA,Alt Camp,1374.0,100.0,4 [FO+R+P/C+E],nocturn,1374.0
13,14.0,2016-07-10,MONTFERRI,Alt Camp,473.0,100.0,4 [FO+R+P/C+E],nocturn,473.0
14,15.0,2019-01-15,LA RIBA,Alt Camp,569.0,100.0,5 [FO+R+V+P/C+E],nocturn,569.0
15,16.0,2006-02-15,VILAJUÏGA,Alt Empordà,1179.0,100.0,5 [FO+R+V+P/C+E],nocturn,1179.0
16,17.0,2014-12-15,BIURE,Alt Empordà,223.0,100.0,2 [FO+R],diürn,223.0
17,18.0,2014-12-15,BOADELLA I LES ESCAULES,Alt Empordà,260.0,100.0,2 [FO+R],diürn,260.0
18,19.0,2014-12-15,DARNIUS,Alt Empordà,548.0,100.0,2 [FO+R],diürn,548.0
19,20.0,2014-12-15,MAÇANET DE CABRENYS,Alt Empordà,722.0,100.0,2 [FO+R],diürn,722.0
20,21.0,2014-12-15,TERRADES,Alt Empordà,345.0,100.0,2 [FO+R],diürn,345.0
21,22.0,2005-06-01,SANT SADURNÍ D'ANOIA,Alt Penedès,12915.0,94.0,4 [FO+R+P/C+E],nocturn,12140.1
22,23.0,2006-06-12,OLÈRDOLA,Alt Penedès,3946.0,100.0,4 [FO+R+P/C+E],nocturn,3946.0
23,24.0,2011-11-13,SANT QUINTÍ DE MEDIONA,Alt Penedès,2504.0,100.0,2 [FO+R],nocturn,2504.0
24,25.0,2012-11-05,SUBIRATS,Alt Penedès,3281.0,70.0,2 [FO+R],diürn,2296.7
25,26.0,2022-07-29,SANT PERE DE RIUDEBITLLES,Alt Penedès,2497.0,100.0,4 [FO+R+P/C+E],diürn,2497.0
26,27.0,2022-07-29,TORRELAVIT,Alt Penedès,1509.0,100.0,4 [FO+R+P/C+E],diürn,1509.0
27,28.0,2018-05-07,JORBA,Anoia,827.0,100.0,5 [FO+R+V+P/C+E],diürn,827.0
28,29.0,2018-05-07,SANT MARTÍ DE TOUS,Anoia,1275.0,100.0,5 [FO+R+V+P/C+E],diürn,1275.0
29,30.0,2018-05-14,CARME,Anoia,814.0,100.0,5 [FO+R+V+P/C+E],diürn,814.0
30,31.0,2018-05-14,ORPÍ,Anoia,178.0,100.0,5 [FO+R+V+P/C+E],diürn,178.0
