,Codi_Municipi,Municipi,Comarca,Província
0,250019,Abella de la Conca,Pallars Jussà,Lleida
1,80018,Abrera,Baix Llobregat,Barcelona
2,250030,Agramunt,Urgell,Lleida
3,80023,Aguilar de Segarra,Bages,Barcelona
4,170010,Agullana,Alt Empordà,Girona
5,80142,Aiguafreda,Osona,Barcelona/Girona (3)
6,430017,Aiguamúrcia,Alt Camp,Tarragona
7,170025,Aiguaviva,Gironès,Girona
8,250387,Aitona,Segrià,Lleida
9,250045,"Alamús, els",Segrià,Lleida
10,250061,"Albagés, l'",Garrigues,Lleida
11,170031,Albanyà,Alt Empordà,Girona
12,250077,Albatàrrec,Segrià,Lleida
13,250083,Albesa,Noguera,Lleida
14,250096,"Albi, l'",Garrigues,Lleida
15,430022,Albinyana,Baix Penedès,Tarragona
16,430038,"Albiol, l'",Baix Camp,Tarragona
17,170046,Albons,Baix Empordà,Girona
18,430043,Alcanar,Montsià,Tarragona
19,250100,Alcanó,Segrià,Lleida
20,250117,Alcarràs,Segrià,Lleida
21,250122,Alcoletge,Segrià,Lleida
22,430056,Alcover,Alt Camp,Tarragona
23,439044,"Aldea, l'",Baix Ebre,Tarragona
24,430069,Aldover,Baix Ebre,Tarragona
25,430075,"Aleixar, l'",Baix Camp,Tarragona
26,80039,Alella,Maresme,Barcelona
27,430081,Alfara de Carles,Baix Ebre,Tarragona
28,250138,Alfarràs,Segrià,Lleida
29,430094,Alforja,Baix Camp,Tarragona
30,250143,Alfés,Segrià,Lleida
31,250156,Algerri,Noguera,Lleida
32,250169,Alguaire,Segrià,Lleida
33,250175,Alins,Pallars Sobirà,Lleida
34,430108,Alió,Alt Camp,Tarragona
35,250194,Almacelles,Segrià,Lleida
36,250208,Almatret,Segrià,Lleida
37,250215,Almenar,Segrià,Lleida
38,430115,Almoster,Baix Camp,Tarragona
39,170062,Alp,Cerdanya,Girona/Lleida (2)
40,80044,Alpens,Lluçanès,Barcelona
41,250236,Alpicat,Segrià,Lleida
42,250241,Alt Àneu,Pallars Sobirà,Lleida
43,430120,Altafulla,Tarragonès,Tarragona
44,250058,Alàs i Cerc,Alt Urgell,Lleida
45,250220,Alòs de Balaguer,Noguera,Lleida
46,170078,Amer,Selva,Girona/Barcelona (4)
47,430136,"Ametlla de Mar, l'",Baix Ebre,Tarragona
48,80057,"Ametlla del Vallès, l'",Vallès Oriental,Barcelona
49,439060,"Ampolla, l'",Baix Ebre,Tarragona
50,430141,Amposta,Montsià,Tarragona
51,250273,Anglesola,Urgell,Lleida
52,170084,Anglès,Selva,Girona/Barcelona (4)
53,250292,Arbeca,Garrigues,Lleida
54,430154,Arbolí,Baix Camp,Tarragona
55,430167,"Arboç, l'",Baix Penedès,Tarragona
56,170097,Arbúcies,Selva,Girona/Barcelona (4)
57,80060,Arenys de Mar,Maresme,Barcelona
58,80076,Arenys de Munt,Maresme,Barcelona
59,170101,Argelaguer,Garrotxa,Girona
60,430173,"Argentera, l'",Baix Camp,Tarragona
61,80095,Argentona,Maresme,Barcelona
62,80082,Argençola,Anoia,Barcelona
63,170118,"Armentera, l'",Alt Empordà,Girona
64,430189,Arnes,Terra Alta,Tarragona
65,250313,Arres,Aran,Lleida
66,250328,Arsèguel,Alt Urgell,Lleida
67,250334,Artesa de Lleida,Segrià,Lleida
68,250349,Artesa de Segre,Noguera,Lleida
69,80109,Artés,Bages,Barcelona
70,430192,Ascó,Ribera d'Ebre,Tarragona
71,250365,Aspa,Segrià,Lleida
72,250371,"Avellanes i Santa Linya, les",Noguera,Lleida
73,170123,Avinyonet de Puigventós,Alt Empordà,Girona
