concepte,any,municipi,renda familiar disponible bruta,renda familiar disponible bruta,renda familiar disponible bruta
indicador,,,per habitant (índex Catalunya=100),per habitant (€),valor (milers €)
0,2000.0,Abrera,86.4,10200.0,84783.0
1,2000.0,Alcanar,88.2,10400.0,83608.0
2,2000.0,Alella,133.1,15700.0,133790.0
3,2000.0,Almacelles,104.7,12400.0,69334.0
4,2000.0,"Ametlla del Vallès, l'",139.9,16500.0,95846.0
5,2000.0,Amposta,93.2,11000.0,182191.0
6,2000.0,Anglès,101.6,12000.0,59878.0
7,2000.0,Arbúcies,102.3,12100.0,61814.0
8,2000.0,Arenys de Mar,99.3,11700.0,149092.0
9,2000.0,Arenys de Munt,95.9,11300.0,72172.0
10,2000.0,Argentona,104.1,12300.0,118443.0
11,2000.0,Badalona,81.4,9600.0,2008427.0
12,2000.0,Badia del Vallès,69.3,8200.0,125028.0
13,2000.0,Balaguer,102.2,12100.0,161243.0
14,2000.0,Banyoles,112.6,13300.0,202777.0
15,2000.0,Barberà del Vallès,84.7,10000.0,267039.0
16,2000.0,Barcelona,113.7,13400.0,20143312.0
17,2000.0,Berga,95.0,11200.0,161646.0
18,2000.0,Bigues i Riells del Fai,108.2,12800.0,71109.0
19,2000.0,"Bisbal d'Empordà, la",101.5,12000.0,99336.0
20,2000.0,Blanes,95.7,11300.0,350168.0
21,2000.0,"Borges Blanques, les",112.1,13200.0,69450.0
22,2000.0,Calafell,104.8,12400.0,158035.0
23,2000.0,Caldes de Montbui,104.4,12300.0,155564.0
24,2000.0,Calella,90.5,10700.0,143582.0
25,2000.0,Calonge i Sant Antoni,92.4,10900.0,76235.0
26,2000.0,Cambrils,104.3,12300.0,251816.0
27,2000.0,Canet de Mar,93.7,11100.0,114579.0
28,2000.0,Canovelles,82.7,9800.0,127542.0
29,2000.0,Cardedeu,103.7,12200.0,151248.0
30,2000.0,Cardona,88.5,10400.0,57894.0
31,2000.0,Cassà de la Selva,109.1,12900.0,100243.0
32,2000.0,"Castell d'Aro, Platja d'Aro i s'Agaró",106.6,12600.0,86820.0
33,2000.0,Castellar del Vallès,100.7,11900.0,211406.0
34,2000.0,Castellbisbal,94.7,11200.0,92646.0
35,2000.0,Castelldefels,98.5,11600.0,534172.0
36,2000.0,Castelló d'Empúries,89.1,10500.0,69187.0
37,2000.0,Centelles,103.0,12200.0,70613.0
38,2000.0,Cerdanyola del Vallès,95.2,11200.0,596937.0
39,2000.0,Cervelló,97.8,11500.0,71327.0
40,2000.0,Cervera,110.7,13100.0,98994.0
41,2000.0,Constantí,81.8,9700.0,48424.0
42,2000.0,Corbera de Llobregat,108.9,12900.0,120004.0
43,2000.0,Cornellà de Llobregat,84.4,10000.0,807843.0
44,2000.0,Cubelles,86.0,10200.0,68642.0
45,2000.0,Cunit,95.1,11200.0,69027.0
46,2000.0,Deltebre,87.6,10300.0,106729.0
47,2000.0,"Escala, l'",106.8,12600.0,78986.0
48,2000.0,Esparreguera,88.8,10500.0,182757.0
49,2000.0,Esplugues de Llobregat,95.9,11300.0,517368.0
