"Any","Codi municipi","Municipi","Comarca","Població","Autocompostatge","Matèria orgànica","Poda i jardineria","Paper i cartró","Vidre","Envasos lleugers","Residus voluminosos + fusta","RAEE","Ferralla","Olis vegetals","Tèxtil","Runes","Residus en Petites Quantitats (RPQ)","Piles","Medicaments","Altres recollides selectives","Total Recollida Selectiva","R.S. / R.M. % total","Kg/hab/any recollida selectiva","Resta a Dipòsit","Resta a Incineració","Resta a Tractament Mecànic Biològic","Resta (sense desglossar)","Suma Fracció Resta","F.R. / R.M. %","Generació Residus Municipal Totals","Kg / hab / dia","Kg / hab / any"
"2000","250019","Abella de la Conca","Pallars Jussà","186","0,00","0,00","0,01","6,16","6,32","0,60","1,19","0,00","0,00","0,00","0,00","0,00","0,00","0,01","0,01","0,50","14,79","13,65","79,53","0,00","0,00","0,00","93,59","93,59","86,35","108,38","1,60","582,69"
"2000","80018","Abrera","Baix Llobregat","7.003","0,00","0,00","32,66","170,18","110,68","31,71","10,30","0,00","0,00","0,00","0,00","0,00","0,00","0,73","0,33","148,32","504,91","7,14","72,10","0,00","0,00","0,00","6.565,10","6.565,10","92,86","7.070,01","2,77","1.009,57"
"2000","250024","Àger","Noguera","553","0,00","0,00","0,00","5,05","10,80","1,81","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,01","0,03","0,51","18,21","5,58","32,94","0,00","0,00","0,00","308,46","308,46","94,42","326,67","1,62","590,73"
"2000","250030","Agramunt","Urgell","4.925","0,00","0,00","0,00","49,03","82,60","10,89","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,61","0,23","0,00","143,36","7,45","29,11","0,00","0,00","0,00","1.781,76","1.781,76","92,55","1.925,13","1,07","390,89"
"2000","80023","Aguilar de Segarra","Bages","206","0,00","0,00","0,00","2,95","2,80","0,65","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,01","0,00","6,41","4,40","31,12","0,00","0,00","0,00","139,13","139,13","95,60","145,54","1,94","706,51"
"2000","170010","Agullana","Alt Empordà","619","0,00","0,00","0,00","7,53","10,80","1,17","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,03","0,00","19,53","2,99","31,55","0,00","0,00","0,00","633,47","633,47","97,01","653,00","2,89","1.054,93"
"2000","80142","Aiguafreda","Vallès Oriental","2.090","0,00","0,00","4,25","5,96","1,33","0,00","413,98","0,00","0,00","0,00","0,00","0,00","0,00","0,13","0,10","44,43","470,17","30,84","224,96","0,00","0,00","0,00","1.054,44","1.054,44","69,16","1.524,61","2,00","729,48"
"2000","430017","Aiguamúrcia","Alt Camp","614","0,00","0,00","0,00","12,51","37,00","3,83","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,03","0,00","53,37","11,33","86,92","0,00","0,00","0,00","417,61","417,61","88,67","470,98","2,10","767,07"
"2000","170025","Aiguaviva","Gironès","432","0,00","0,00","0,00","13,76","7,77","2,19","4,69","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,02","0,00","28,43","6,70","65,82","0,00","0,00","0,00","396,00","396,00","93,30","424,43","2,69","982,49"
"2000","250387","Aitona","Segrià","2.183","0,00","0,00","0,00","12,25","11,40","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,10","0,00","23,75","3,04","10,88","0,00","0,00","0,00","757,84","757,84","96,96","781,59","0,98","358,04"
"2000","250045","Alamús, els","Segrià","671","0,00","0,00","0,00","3,76","7,20","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,14","0,03","0,00","11,13","4,56","16,59","0,00","0,00","0,00","232,94","232,94","95,44","244,07","1,00","363,74"
"2000","250058","Alàs i Cerc","Alt Urgell","409","0,00","0,00","0,26","13,84","8,24","3,37","3,87","0,00","0,00","0,00","0,00","0,00","0,00","0,02","0,02","17,09","46,72","24,64","114,23","0,00","0,00","0,00","142,90","142,90","75,36","189,62","1,27","463,61"
"2000","250061","Albagés, l'","Garrigues","507","0,00","0,00","0,01","3,70","3,21","0,82","0,04","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,02","0,11","7,91","3,83","15,60","0,00","0,00","0,00","198,64","198,64","96,17","206,55","1,12","407,39"
"2000","170031","Albanyà","Alt Empordà","123","0,00","0,00","0,00","2,91","4,20","0,39","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,01","0,00","7,51","8,11","61,02","0,00","0,00","0,00","85,05","85,05","91,89","92,56","2,06","752,49"
"2000","250077","Albatàrrec","Segrià","1.007","0,00","0,00","0,00","6,75","11,80","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,11","0,05","0,00","18,70","5,08","18,57","0,00","0,00","0,00","349,59","349,59","94,92","368,29","1,00","365,73"
"2000","250083","Albesa","Noguera","1.482","0,00","0,00","0,00","11,06","20,80","2,72","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,03","0,07","1,38","36,05","5,59","24,33","0,00","0,00","0,00","609,26","609,26","94,41","645,31","1,19","435,43"
"2000","250096","Albi, l'","Garrigues","791","0,00","0,00","0,01","2,87","6,41","1,64","1,50","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,04","0,17","12,64","4,03","15,98","0,00","0,00","0,00","301,07","301,07","95,97","313,71","1,09","396,60"
"2000","430022","Albinyana","Baix Penedès","1.077","0,00","0,00","0,00","7,43","27,70","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,05","0,00","35,18","1,66","32,67","0,00","0,00","0,00","2.087,82","2.087,82","98,34","2.123,00","5,40","1.971,22"
"2000","430038","Albiol, l'","Baix Camp","144","0,00","0,00","0,00","0,70","1,26","0,14","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,01","0,00","2,11","10,53","14,63","0,00","0,00","0,00","17,91","17,91","89,47","20,02","0,38","139,01"
