"ID","Nom","ON VA?","PROCÉS 1","PROCÉS 2","EN QUÈ ES TRANSFORMA 1","EN QUÈ ES TRANSFORMA 2","CONSELL DE PREVENCIÓ"
"R001","Aerosols","Envàs lleuger (groc)","Planta de triatge d'envasos","Planta de reciclatge","Alumini reciclat","-","-"
"R002","Agulles cosir","Fracció resta (gris)","Planta de triatge: Resta","-","Monodipòsit","-","-"
"R003","Ampolla de plàstic","Envàs lleuger (groc)","Planta de triatge d'envasos","Planta de reciclatge","Plàstic","-","Opta per envasos grans"
"R004","Ampolla de vidre","Vidre (verd)","Planta de triatge: Vidre","Planta de reciclatge","Vidre reciclat","-","Reutilitza les ampolles de vidre"
"R005","Auriculars","Deixalleria / Punt Verd ","Empresa especialitzada","Planta de reciclatge","Plàstic","-","-"
"R006","Baieta","Fracció resta (gris)","Planta de triatge: Resta","Incineradora","Electricitat","-","-"
"R007","Bastonets de les orelles","Fracció resta (gris)","Planta de triatge: Resta","Incineradora","Electricitat","-","-"
"R008","Bateria de cotxe","Deixalleria / Punt Verd ","Empresa especialitzada","Planta de reciclatge","Plom","Carcasses reciclades","-"
"R009","Bijuteria i complements","Fracció resta (gris)","Planta de triatge: Resta","Incineradora","Electricitat","-","-"
"R010","Bolígrafs","Deixalleria / Punt Verd ","Empresa especialitzada","Planta de reciclatge","Plàstic","-","Utilitza bolígrafs de tinta recarregable"
"R011","Bolquers, compreses, tampons","Fracció resta (gris)","Planta de triatge: Resta","Incineradora","Electricitat","-","Optar per bolquers reutilitzables pot implicar una reducció de residus de més de 1.000 kg per família a l’any, i fins a 1.000 € anuals d’estalvi."
"R012","Bombeta de baix consum","Deixalleria / Punt Verd ","Empresa especialitzada","Fabricant","Mercuri reciclat","Alumini reciclat","Evitar el seu trencament"
"R013","Bombeta de filament","Fracció resta (gris)","Planta de triatge: Resta","-","Monodipòsit","-",
"R014","Bossa aperitiu","Envàs lleuger (groc)","Planta de triatge d'envasos","Planta de reciclatge","Safata Alumini","-","-"
"R015","Bossa de paper o cartró","Paper i cartró (blau)","Planta de triatge de paper i cartró","Planta de reciclatge","Paper reciclat","-","Reutilitza les bosses que puguis."
"R016","Bossa de plàstic","Envàs lleuger (groc)","Planta de triatge d'envasos","Planta de reciclatge","Bosses de plàstic","-","Substitueix les bosses de plàstic per bosses reutilitzables, cistell o carro de la compra"
"R017","Bric","Envàs lleuger (groc)","Planta de triatge d'envasos","Planta de reciclatge","Alumini reciclat","Plàstic","-"
"R018","Cafè (càpsules)","Deixalleria / Punt Verd ","Empresa especialitzada","-","Safata Alumini","-","-"
"R019","Cafè (filtre)","Fracció orgànica (marró)","Planta de digestió anaeròbia","Planta de compostatge","Compost","Electricitat","-"
"R020","Cafè (marro)","Fracció orgànica (marró)","Planta de digestió anaeròbia","Planta de compostatge","Compost","Electricitat","Si tens un jardí, un hort o un pati gran amb plantes, pots fer el teu compost casolà"
"R021","Calçat","Contenidor  Roba ","Triatge de roba","-","Roba","-","-"
"R022","Capsa de cartró","Paper i cartró (blau)","Planta de triatge de paper i cartró","Planta de reciclatge","Paper reciclat","-","-"
"R024","Capsa de plàstic","Envàs lleuger (groc)","Planta de triatge d'envasos","Planta de reciclatge","Caixes de plàstic","-","-"
"R025","Capsa de puros","Envàs lleuger (groc)","Planta de triatge d'envasos","Fabricant","Combustible","Conglomerat","-"
"R026","Cassola","Deixalleria / Punt Verd ","Empresa especialitzada","Planta de reciclatge","Peces automoció","-","-"
"R027","CD's/DVD's","Deixalleria / Punt Verd ","Empresa especialitzada","Planta de reciclatge","Policarbonat","-","-"
"R028","Cendrer de plàstic","Fracció resta (gris)","Planta de triatge: Resta","-","Monodipòsit","-","-"
"R029","Cendrer de porcellana","Fracció resta (gris)","Planta de triatge: Resta","-","Monodipòsit","-","-"
"R030","Cendrer de vidre","Deixalleria / Punt Verd ","Empresa especialitzada","-","Vidre reciclat","-","Per diferències en la composició d’aquest vidre és millor no barrejar-lo amb el vidre dels envasos."
"R031","Cera","Fracció resta (gris)","Planta de triatge: Resta","Incineradora","Electricitat","-","-"
"R032","Cistell o cabàs","Deixalleria / Punt Verd ","Incineradora","-","Electricitat","-","Per anar a comprar, podem portar el cabàs per estalviar bosses de plàstic, adquirir productes a granel, escollir envasos de gran capacitat i productes concentrats, i rebutjar embolcalls innecessaris."
"R033","Clips metàl·lics","Fracció resta (gris)","Planta de triatge: Resta","-","Monodipòsit","-","-"
"R034","Closques","Fracció orgànica (marró)","Planta de digestió anaeròbia","Planta de compostatge","Compost","Electricitat","Si tens un jardí, un hort o un pati gran amb plantes, pots fer el teu compost casolà."
"R035","Coberts","Deixalleria / Punt Verd ","Empresa especialitzada","-","Metall reciclat","-","-"
"R036","Cordons de sabata","Contenidor  Roba ","Triatge de roba","-","Roba","-","-"
"R037","Cotó fluix","Fracció resta (gris)","Planta de triatge: Resta","Incineradora","Electricitat","-","-"
"R038","Desodorant amb roll-on","Envàs lleuger (groc)","Planta de triatge d'envasos","Planta de reciclatge","Plàstics","-","-"
"R039","Diari","Paper i cartró (blau)","Planta de triatge de paper i cartró","Planta de reciclatge","Paper reciclat","-","-"
"R040","Disc de vinil","Deixalleria / Punt Verd ","Incineradora","-","Electricitat","-","-"
"R041","Draps","Contenidor  Roba ","Triatge de roba","-","Roba","-","-"
"R042","Embolcalls de film i plata","Envàs lleuger (groc)","Planta de triatge d'envasos","Planta de reciclatge","Safata Alumini","-","Utilitza la carmanyola per a portar l’entrepà o algun tipus d’embolcall reutilitzable"
"R043","Escuradents de fusta","Fracció orgànica (marró)","Planta de digestió anaeròbia","Planta de compostatge","Compost","Electricitat","Si tens un jardí, un hort o un pati gran amb plantes, pots fer el teu compost casolà."
"R044","Espiral llibreta","Deixalleria / Punt Verd ","Empresa especialitzada","-","Metall reciclat","-","-"
"R045","Etiqueta adhesiva","Fracció resta (gris)","Planta de triatge: Resta","Incineradora","Electricitat","-","-"
"R046","Etiqueta de paper","Paper i cartró (blau)","Planta de triatge de paper i cartró","Planta de reciclatge","Paper reciclat","-","-"
"R047","Excrements","Fracció orgànica (marró)","Planta de digestió anaeròbia","Planta de compostatge","Compost","Electricitat","Si tens un jardí, un hort o un pati gran amb plantes, pots fer el teu compost casolà."
"R048","Fibrociment amb amiant","Deixalleries especifiques","Empresa especialitzada","-","-","-","Aquest material representa un risc per la salut. NO EL MANIPULIS NI L’ESMICOLIS."
"R049","Flors","Fracció orgànica (marró)","Planta de digestió anaeròbia","Planta de compostatge","Compost","Electricitat","Si tens un jardí, un hort o un pati gran amb plantes, pots fer el teu compost casolà"
"R050","Fluorescent","Deixalleria / Punt Verd ","Empresa especialitzada","Fabricant","Mercuri reciclat","Alumini reciclat","Evitar el seu trencament"
"R051","Fotos","Deixalleria / Punt Verd ","Empresa especialitzada","Incineradora","Electricitat","-","-"
"R052","Fulls de paper","Paper i cartró (blau)","Planta de triatge de paper i cartró","Planta de reciclatge","Paper reciclat","-","Reutilitza el paper imprès a una sola cara per prendre notes o imprimir esborranys. Imprimeix els documents a doble cara i només quan realment sigui necessari."
"R053","Galleda","Deixalleria / Punt Verd ","Empresa especialitzada","Planta de reciclatge","Plàstic","Metall","-"
"R054","Gerro ceràmica","Deixalleria / Punt Verd ","Empresa especialitzada","-","Monodipòsit","-","-"
"R055","Gespa","Fracció orgànica (marró)","Planta de digestió anaeròbia","Planta de compostatge","Compost","Electricitat","Si tens un jardí, un hort o un pati gran amb plantes, pots fer el teu compost casolà"
"R056","Goma esborrar","Fracció resta (gris)","Planta de triatge: Resta","Incineradora","Electricitat","-","-"
"R057","Got de plàstic","Envàs lleuger (groc)","Planta de triatge d'envasos","Planta de reciclatge","Bosses de plàstic","-","Pots optar per l’ús de gots reutilitzables"
"R058","Got de vidre trencat","Fracció resta (gris)","Planta de triatge: Resta","-","Monodipòsit","-","-"
"R059","Infusions (bossetes)","Fracció orgànica (marró)","Planta de digestió anaeròbia","Planta de compostatge","Compost","Electricitat","Si tens un jardí, un hort o un pati gran amb plantes, pots fer el teu compost casolà"
