any;municipi;edat any a any;sexe;concepte;estat;valor
2023;Abella de la Conca;total;homes;població;;86
2023;Abella de la Conca;total;dones;població;;80
2023;Abella de la Conca;total;total;població;;166
2023;Abrera;total;homes;població;;6452
2023;Abrera;total;dones;població;;6369
2023;Abrera;total;total;població;;12821
2023;Àger;total;homes;població;;319
2023;Àger;total;dones;població;;263
2023;Àger;total;total;població;;582
2023;Agramunt;total;homes;població;;2786
2023;Agramunt;total;dones;població;;2719
2023;Agramunt;total;total;població;;5505
2023;Aguilar de Segarra;total;homes;població;;157
2023;Aguilar de Segarra;total;dones;població;;136
2023;Aguilar de Segarra;total;total;població;;293
2023;Agullana;total;homes;població;;455
2023;Agullana;total;dones;població;;466
2023;Agullana;total;total;població;;921
2023;Aiguafreda;total;homes;població;;1245
2023;Aiguafreda;total;dones;població;;1327
2023;Aiguafreda;total;total;població;;2572
2023;Aiguamúrcia;total;homes;població;;512
2023;Aiguamúrcia;total;dones;població;;471
2023;Aiguamúrcia;total;total;població;;983
2023;Aiguaviva;total;homes;població;;383
2023;Aiguaviva;total;dones;població;;388
2023;Aiguaviva;total;total;població;;771
2023;Aitona;total;homes;població;;1331
2023;Aitona;total;dones;població;;1189
2023;Aitona;total;total;població;;2520
2023;Alamús, els;total;homes;població;;398
2023;Alamús, els;total;dones;població;;394
2023;Alamús, els;total;total;població;;792
2023;Alàs i Cerc;total;homes;població;;161
2023;Alàs i Cerc;total;dones;població;;164
2023;Alàs i Cerc;total;total;població;;325
2023;Albagés, l';total;homes;població;;190
2023;Albagés, l';total;dones;població;;166
2023;Albagés, l';total;total;població;;356
2023;Albanyà;total;homes;població;;87
2023;Albanyà;total;dones;població;;83
2023;Albanyà;total;total;població;;170
2023;Albatàrrec;total;homes;població;;1135
2023;Albatàrrec;total;dones;població;;1093
2023;Albatàrrec;total;total;població;;2228
2023;Albesa;total;homes;població;;853
2023;Albesa;total;dones;població;;727
2023;Albesa;total;total;població;;1580
2023;Albi, l';total;homes;població;;389
2023;Albi, l';total;dones;població;;375
2023;Albi, l';total;total;població;;764
2023;Albinyana;total;homes;població;;1359
2023;Albinyana;total;dones;població;;1305
2023;Albinyana;total;total;població;;2664
2023;Albiol, l';total;homes;població;;291
2023;Albiol, l';total;dones;població;;248
2023;Albiol, l';total;total;població;;539
2023;Albons;total;homes;població;;423
2023;Albons;total;dones;població;;393
2023;Albons;total;total;població;;816
2023;Alcanar;total;homes;població;;4935
2023;Alcanar;total;dones;població;;4837
2023;Alcanar;total;total;població;;9772
2023;Alcanó;total;homes;població;;124
2023;Alcanó;total;dones;població;;120
2023;Alcanó;total;total;població;;244
2023;Alcarràs;total;homes;població;;5181
2023;Alcarràs;total;dones;població;;4819
2023;Alcarràs;total;total;població;;10000
2023;Alcoletge;total;homes;població;;1888
2023;Alcoletge;total;dones;població;;1656
2023;Alcoletge;total;total;població;;3544
2023;Alcover;total;homes;població;;2614
2023;Alcover;total;dones;població;;2653
2023;Alcover;total;total;població;;5267
2023;Aldea, l';total;homes;població;;2433
