any;municipi;concepte;indicador;estat;valor
2021;Abrera;renda familiar disponible bruta;valor (milers €);;241196
2021;Abrera;renda familiar disponible bruta;per habitant (€);;19070
2021;Abrera;renda familiar disponible bruta;per habitant (índex Catalunya=100);;102,3
2021;Agramunt;renda familiar disponible bruta;valor (milers €);;88440
2021;Agramunt;renda familiar disponible bruta;per habitant (€);;16216
2021;Agramunt;renda familiar disponible bruta;per habitant (índex Catalunya=100);;87
2021;Aiguafreda;renda familiar disponible bruta;valor (milers €);;51102
2021;Aiguafreda;renda familiar disponible bruta;per habitant (€);;20016
2021;Aiguafreda;renda familiar disponible bruta;per habitant (índex Catalunya=100);;107,4
2021;Aitona;renda familiar disponible bruta;valor (milers €);;31737
2021;Aitona;renda familiar disponible bruta;per habitant (€);;12705
2021;Aitona;renda familiar disponible bruta;per habitant (índex Catalunya=100);;68,2
2021;Albatàrrec;renda familiar disponible bruta;valor (milers €);;30997
2021;Albatàrrec;renda familiar disponible bruta;per habitant (€);;14077
2021;Albatàrrec;renda familiar disponible bruta;per habitant (índex Catalunya=100);;75,5
2021;Albesa;renda familiar disponible bruta;valor (milers €);;23924
2021;Albesa;renda familiar disponible bruta;per habitant (€);;15248
2021;Albesa;renda familiar disponible bruta;per habitant (índex Catalunya=100);;81,8
2021;Albinyana;renda familiar disponible bruta;valor (milers €);;37043
2021;Albinyana;renda familiar disponible bruta;per habitant (€);;14595
2021;Albinyana;renda familiar disponible bruta;per habitant (índex Catalunya=100);;78,3
2021;Alcanar;renda familiar disponible bruta;valor (milers €);;137708
2021;Alcanar;renda familiar disponible bruta;per habitant (€);;14403
2021;Alcanar;renda familiar disponible bruta;per habitant (índex Catalunya=100);;77,3
2021;Alcarràs;renda familiar disponible bruta;valor (milers €);;138958
2021;Alcarràs;renda familiar disponible bruta;per habitant (€);;14057
2021;Alcarràs;renda familiar disponible bruta;per habitant (índex Catalunya=100);;75,4
2021;Alcoletge;renda familiar disponible bruta;valor (milers €);;53297
2021;Alcoletge;renda familiar disponible bruta;per habitant (€);;15193
2021;Alcoletge;renda familiar disponible bruta;per habitant (índex Catalunya=100);;81,5
2021;Alcover;renda familiar disponible bruta;valor (milers €);;87335
2021;Alcover;renda familiar disponible bruta;per habitant (€);;16702
2021;Alcover;renda familiar disponible bruta;per habitant (índex Catalunya=100);;89,6
2021;Aldea, l';renda familiar disponible bruta;valor (milers €);;58422
2021;Aldea, l';renda familiar disponible bruta;per habitant (€);;13672
2021;Aldea, l';renda familiar disponible bruta;per habitant (índex Catalunya=100);;73,4
2021;Alella;renda familiar disponible bruta;valor (milers €);;254422
2021;Alella;renda familiar disponible bruta;per habitant (€);;25407
2021;Alella;renda familiar disponible bruta;per habitant (índex Catalunya=100);;136,3
2021;Alfarràs;renda familiar disponible bruta;valor (milers €);;41972
2021;Alfarràs;renda familiar disponible bruta;per habitant (€);;15093
2021;Alfarràs;renda familiar disponible bruta;per habitant (índex Catalunya=100);;81
2021;Alforja;renda familiar disponible bruta;valor (milers €);;29825
2021;Alforja;renda familiar disponible bruta;per habitant (€);;15772
2021;Alforja;renda familiar disponible bruta;per habitant (índex Catalunya=100);;84,6
2021;Alguaire;renda familiar disponible bruta;valor (milers €);;46348
2021;Alguaire;renda familiar disponible bruta;per habitant (€);;15176
2021;Alguaire;renda familiar disponible bruta;per habitant (índex Catalunya=100);;81,4
2021;Almacelles;renda familiar disponible bruta;valor (milers €);;90066
2021;Almacelles;renda familiar disponible bruta;per habitant (€);;12926
2021;Almacelles;renda familiar disponible bruta;per habitant (índex Catalunya=100);;69,4
2021;Almenar;renda familiar disponible bruta;valor (milers €);;50616
2021;Almenar;renda familiar disponible bruta;per habitant (€);;15002
2021;Almenar;renda familiar disponible bruta;per habitant (índex Catalunya=100);;80,5
2021;Almoster;renda familiar disponible bruta;valor (milers €);;29490
2021;Almoster;renda familiar disponible bruta;per habitant (€);;22546
2021;Almoster;renda familiar disponible bruta;per habitant (índex Catalunya=100);;121
2021;Alp;renda familiar disponible bruta;valor (milers €);;28330
2021;Alp;renda familiar disponible bruta;per habitant (€);;16863
2021;Alp;renda familiar disponible bruta;per habitant (índex Catalunya=100);;90,5
2021;Alpicat;renda familiar disponible bruta;valor (milers €);;128717
2021;Alpicat;renda familiar disponible bruta;per habitant (€);;20306
2021;Alpicat;renda familiar disponible bruta;per habitant (índex Catalunya=100);;109
2021;Altafulla;renda familiar disponible bruta;valor (milers €);;107156
2021;Altafulla;renda familiar disponible bruta;per habitant (€);;19325
2021;Altafulla;renda familiar disponible bruta;per habitant (índex Catalunya=100);;103,7
2021;Amer;renda familiar disponible bruta;valor (milers €);;41454
2021;Amer;renda familiar disponible bruta;per habitant (€);;17287
2021;Amer;renda familiar disponible bruta;per habitant (índex Catalunya=100);;92,8
2021;Ametlla de Mar, l';renda familiar disponible bruta;valor (milers €);;101616
2021;Ametlla de Mar, l';renda familiar disponible bruta;per habitant (€);;14102
2021;Ametlla de Mar, l';renda familiar disponible bruta;per habitant (índex Catalunya=100);;75,7
2021;Ametlla del Vallès, l';renda familiar disponible bruta;valor (milers €);;217293
2021;Ametlla del Vallès, l';renda familiar disponible bruta;per habitant (€);;24420
2021;Ametlla del Vallès, l';renda familiar disponible bruta;per habitant (índex Catalunya=100);;131
2021;Ampolla, l';renda familiar disponible bruta;valor (milers €);;52825
2021;Ampolla, l';renda familiar disponible bruta;per habitant (€);;15050
2021;Ampolla, l';renda familiar disponible bruta;per habitant (índex Catalunya=100);;80,8
2021;Amposta;renda familiar disponible bruta;valor (milers €);;303237
2021;Amposta;renda familiar disponible bruta;per habitant (€);;14118
2021;Amposta;renda familiar disponible bruta;per habitant (índex Catalunya=100);;75,8
2021;Anglès;renda familiar disponible bruta;valor (milers €);;92797
2021;Anglès;renda familiar disponible bruta;per habitant (€);;16289
2021;Anglès;renda familiar disponible bruta;per habitant (índex Catalunya=100);;87,4
2021;Anglesola;renda familiar disponible bruta;valor (milers €);;20513
2021;Anglesola;renda familiar disponible bruta;per habitant (€);;15195
2021;Anglesola;renda familiar disponible bruta;per habitant (índex Catalunya=100);;81,5
2021;Arbeca;renda familiar disponible bruta;valor (milers €);;34149
2021;Arbeca;renda familiar disponible bruta;per habitant (€);;16077
2021;Arbeca;renda familiar disponible bruta;per habitant (índex Catalunya=100);;86,3
2021;Arboç, l';renda familiar disponible bruta;valor (milers €);;81777
2021;Arboç, l';renda familiar disponible bruta;per habitant (€);;14603
2021;Arboç, l';renda familiar disponible bruta;per habitant (índex Catalunya=100);;78,4
2021;Arbúcies;renda familiar disponible bruta;valor (milers €);;99126
2021;Arbúcies;renda familiar disponible bruta;per habitant (€);;15243
2021;Arbúcies;renda familiar disponible bruta;per habitant (índex Catalunya=100);;81,8
2021;Arenys de Mar;renda familiar disponible bruta;valor (milers €);;289890
2021;Arenys de Mar;renda familiar disponible bruta;per habitant (€);;18059
2021;Arenys de Mar;renda familiar disponible bruta;per habitant (índex Catalunya=100);;96,9
2021;Arenys de Munt;renda familiar disponible bruta;valor (milers €);;174940
2021;Arenys de Munt;renda familiar disponible bruta;per habitant (€);;18990
2021;Arenys de Munt;renda familiar disponible bruta;per habitant (índex Catalunya=100);;101,9
2021;Argentona;renda familiar disponible bruta;valor (milers €);;248520
2021;Argentona;renda familiar disponible bruta;per habitant (€);;19592
2021;Argentona;renda familiar disponible bruta;per habitant (índex Catalunya=100);;105,1
2021;Armentera, l';renda familiar disponible bruta;valor (milers €);;16075
2021;Armentera, l';renda familiar disponible bruta;per habitant (€);;15668
2021;Armentera, l';renda familiar disponible bruta;per habitant (índex Catalunya=100);;84,1
2021;Artés;renda familiar disponible bruta;valor (milers €);;104435
2021;Artés;renda familiar disponible bruta;per habitant (€);;17920
2021;Artés;renda familiar disponible bruta;per habitant (índex Catalunya=100);;96,2
2021;Artesa de Lleida;renda familiar disponible bruta;valor (milers €);;23700
2021;Artesa de Lleida;renda familiar disponible bruta;per habitant (€);;15429
2021;Artesa de Lleida;renda familiar disponible bruta;per habitant (índex Catalunya=100);;82,8
2021;Artesa de Segre;renda familiar disponible bruta;valor (milers €);;51685
2021;Artesa de Segre;renda familiar disponible bruta;per habitant (€);;14848
2021;Artesa de Segre;renda familiar disponible bruta;per habitant (índex Catalunya=100);;79,7
2021;Ascó;renda familiar disponible bruta;valor (milers €);;26288
2021;Ascó;renda familiar disponible bruta;per habitant (€);;16247
2021;Ascó;renda familiar disponible bruta;per habitant (índex Catalunya=100);;87,2
2021;Avià;renda familiar disponible bruta;valor (milers €);;41751
2021;Avià;renda familiar disponible bruta;per habitant (€);;18824
2021;Avià;renda familiar disponible bruta;per habitant (índex Catalunya=100);;101
2021;Avinyó;renda familiar disponible bruta;valor (milers €);;40526
2021;Avinyó;renda familiar disponible bruta;per habitant (€);;17759
2021;Avinyó;renda familiar disponible bruta;per habitant (índex Catalunya=100);;95,3
2021;Avinyonet de Puigventós;renda familiar disponible bruta;valor (milers €);;29478
2021;Avinyonet de Puigventós;renda familiar disponible bruta;per habitant (€);;17683
2021;Avinyonet de Puigventós;renda familiar disponible bruta;per habitant (índex Catalunya=100);;94,9
2021;Avinyonet del Penedès;renda familiar disponible bruta;valor (milers €);;30072
2021;Avinyonet del Penedès;renda familiar disponible bruta;per habitant (€);;17555
2021;Avinyonet del Penedès;renda familiar disponible bruta;per habitant (índex Catalunya=100);;94,2
2021;Badalona;renda familiar disponible bruta;valor (milers €);;3916076
2021;Badalona;renda familiar disponible bruta;per habitant (€);;17635
2021;Badalona;renda familiar disponible bruta;per habitant (índex Catalunya=100);;94,6
2021;Badia del Vallès;renda familiar disponible bruta;valor (milers €);;195982
2021;Badia del Vallès;renda familiar disponible bruta;per habitant (€);;14825
2021;Badia del Vallès;renda familiar disponible bruta;per habitant (índex Catalunya=100);;79,5
2021;Bagà;renda familiar disponible bruta;valor (milers €);;41123
2021;Bagà;renda familiar disponible bruta;per habitant (€);;19039
2021;Bagà;renda familiar disponible bruta;per habitant (índex Catalunya=100);;102,2
2021;Balaguer;renda familiar disponible bruta;valor (milers €);;247700
2021;Balaguer;renda familiar disponible bruta;per habitant (€);;14277
2021;Balaguer;renda familiar disponible bruta;per habitant (índex Catalunya=100);;76,6
2021;Balenyà;renda familiar disponible bruta;valor (milers €);;64943
2021;Balenyà;renda familiar disponible bruta;per habitant (€);;16614
2021;Balenyà;renda familiar disponible bruta;per habitant (índex Catalunya=100);;89,1
2021;Balsareny;renda familiar disponible bruta;valor (milers €);;58686
2021;Balsareny;renda familiar disponible bruta;per habitant (€);;17985
2021;Balsareny;renda familiar disponible bruta;per habitant (índex Catalunya=100);;96,5
2021;Banyeres del Penedès;renda familiar disponible bruta;valor (milers €);;55476
2021;Banyeres del Penedès;renda familiar disponible bruta;per habitant (€);;16913
2021;Banyeres del Penedès;renda familiar disponible bruta;per habitant (índex Catalunya=100);;90,8
2021;Banyoles;renda familiar disponible bruta;valor (milers €);;366219
2021;Banyoles;renda familiar disponible bruta;per habitant (€);;18174
2021;Banyoles;renda familiar disponible bruta;per habitant (índex Catalunya=100);;97,5
2021;Barberà del Vallès;renda familiar disponible bruta;valor (milers €);;619672
2021;Barberà del Vallès;renda familiar disponible bruta;per habitant (€);;18726
2021;Barberà del Vallès;renda familiar disponible bruta;per habitant (índex Catalunya=100);;100,5
2021;Barcelona;renda familiar disponible bruta;valor (milers €);;35889411
2021;Barcelona;renda familiar disponible bruta;per habitant (€);;22136
2021;Barcelona;renda familiar disponible bruta;per habitant (índex Catalunya=100);;118,8
2021;Bàscara;renda familiar disponible bruta;valor (milers €);;16535
2021;Bàscara;renda familiar disponible bruta;per habitant (€);;16243
2021;Bàscara;renda familiar disponible bruta;per habitant (índex Catalunya=100);;87,2
2021;Batea;renda familiar disponible bruta;valor (milers €);;25619
2021;Batea;renda familiar disponible bruta;per habitant (€);;13634
2021;Batea;renda familiar disponible bruta;per habitant (índex Catalunya=100);;73,2
2021;Begues;renda familiar disponible bruta;valor (milers €);;164698
2021;Begues;renda familiar disponible bruta;per habitant (€);;22281
2021;Begues;renda familiar disponible bruta;per habitant (índex Catalunya=100);;119,6
2021;Begur;renda familiar disponible bruta;valor (milers €);;71952
2021;Begur;renda familiar disponible bruta;per habitant (€);;17422
2021;Begur;renda familiar disponible bruta;per habitant (índex Catalunya=100);;93,5
2021;Bellcaire d'Urgell;renda familiar disponible bruta;valor (milers €);;19056
2021;Bellcaire d'Urgell;renda familiar disponible bruta;per habitant (€);;15607
2021;Bellcaire d'Urgell;renda familiar disponible bruta;per habitant (índex Catalunya=100);;83,7
2021;Bell-lloc d'Urgell;renda familiar disponible bruta;valor (milers €);;39102
2021;Bell-lloc d'Urgell;renda familiar disponible bruta;per habitant (€);;16811
2021;Bell-lloc d'Urgell;renda familiar disponible bruta;per habitant (índex Catalunya=100);;90,2
2021;Bellpuig;renda familiar disponible bruta;valor (milers €);;76498
2021;Bellpuig;renda familiar disponible bruta;per habitant (€);;14759
2021;Bellpuig;renda familiar disponible bruta;per habitant (índex Catalunya=100);;79,2
2021;Bellvei;renda familiar disponible bruta;valor (milers €);;32794
2021;Bellvei;renda familiar disponible bruta;per habitant (€);;14196
2021;Bellvei;renda familiar disponible bruta;per habitant (índex Catalunya=100);;76,2
2021;Bellver de Cerdanya;renda familiar disponible bruta;valor (milers €);;38089
2021;Bellver de Cerdanya;renda familiar disponible bruta;per habitant (€);;17577
2021;Bellver de Cerdanya;renda familiar disponible bruta;per habitant (índex Catalunya=100);;94,3
2021;Bellvís;renda familiar disponible bruta;valor (milers €);;34406
2021;Bellvís;renda familiar disponible bruta;per habitant (€);;15319
2021;Bellvís;renda familiar disponible bruta;per habitant (índex Catalunya=100);;82,2
2021;Benavent de Segrià;renda familiar disponible bruta;valor (milers €);;25878
2021;Benavent de Segrià;renda familiar disponible bruta;per habitant (€);;16739
2021;Benavent de Segrià;renda familiar disponible bruta;per habitant (índex Catalunya=100);;89,8
2021;Benissanet;renda familiar disponible bruta;valor (milers €);;16224
