municipi;col;r;c;value;status
Abella de la Conca;Comarca;1;1;Pallars Jussà;
Abella de la Conca;Codi;1;2;250019;
Abella de la Conca;Altitud (m);1;3;956;
Abella de la Conca;Superfície (km²);1;4;78,27;
Abella de la Conca;Població;1;5;162;
Abrera;Comarca;2;1;Baix Llobregat;
Abrera;Codi;2;2;80018;
Abrera;Altitud (m);2;3;105;
Abrera;Superfície (km²);2;4;19,94;
Abrera;Població;2;5;13207;
Àger;Comarca;3;1;Noguera;
Àger;Codi;3;2;250024;
Àger;Altitud (m);3;3;642;
Àger;Superfície (km²);3;4;160,57;
Àger;Població;3;5;635;
Agramunt;Comarca;4;1;Urgell;
Agramunt;Codi;4;2;250030;
Agramunt;Altitud (m);4;3;337;
Agramunt;Superfície (km²);4;4;79,65;
Agramunt;Població;4;5;5638;
Aguilar de Segarra;Comarca;5;1;Bages;
Aguilar de Segarra;Codi;5;2;80023;
Aguilar de Segarra;Altitud (m);5;3;480;
Aguilar de Segarra;Superfície (km²);5;4;43,32;
Aguilar de Segarra;Població;5;5;293;
Agullana;Comarca;6;1;Alt Empordà;
Agullana;Codi;6;2;170010;
Agullana;Altitud (m);6;3;166;
Agullana;Superfície (km²);6;4;27,73;
Agullana;Població;6;5;881;
Aiguafreda;Comarca;7;1;Osona;
Aiguafreda;Codi;7;2;80142;
Aiguafreda;Altitud (m);7;3;404;
Aiguafreda;Superfície (km²);7;4;7,9;
Aiguafreda;Població;7;5;2569;
Aiguamúrcia;Comarca;8;1;Alt Camp;
Aiguamúrcia;Codi;8;2;430017;
Aiguamúrcia;Altitud (m);8;3;314;
Aiguamúrcia;Superfície (km²);8;4;72,95;
Aiguamúrcia;Població;8;5;1002;
Aiguaviva;Comarca;9;1;Gironès;
Aiguaviva;Codi;9;2;170025;
Aiguaviva;Altitud (m);9;3;169;
Aiguaviva;Superfície (km²);9;4;13,91;
Aiguaviva;Població;9;5;805;
Aitona;Comarca;10;1;Segrià;
Aitona;Codi;10;2;250387;
Aitona;Altitud (m);10;3;110;
Aitona;Superfície (km²);10;4;66,9;
Aitona;Població;10;5;2575;
Alamús, els;Comarca;11;1;Segrià;
Alamús, els;Codi;11;2;250045;
Alamús, els;Altitud (m);11;3;212;
Alamús, els;Superfície (km²);11;4;20,53;
Alamús, els;Població;11;5;837;
Alàs i Cerc;Comarca;12;1;Alt Urgell;
Alàs i Cerc;Codi;12;2;250058;
Alàs i Cerc;Altitud (m);12;3;768;
Alàs i Cerc;Superfície (km²);12;4;57,67;
Alàs i Cerc;Població;12;5;320;
Albagés, l';Comarca;13;1;Garrigues;
Albagés, l';Codi;13;2;250061;
Albagés, l';Altitud (m);13;3;372;
Albagés, l';Superfície (km²);13;4;25,7;
Albagés, l';Població;13;5;339;
Albanyà;Comarca;14;1;Alt Empordà;
Albanyà;Codi;14;2;170031;
Albanyà;Altitud (m);14;3;239;
Albanyà;Superfície (km²);14;4;94,39;
Albanyà;Població;14;5;158;
Albatàrrec;Comarca;15;1;Segrià;
Albatàrrec;Codi;15;2;250077;
Albatàrrec;Altitud (m);15;3;147;
Albatàrrec;Superfície (km²);15;4;10,46;
Albatàrrec;Població;15;5;2312;
Albesa;Comarca;16;1;Noguera;
Albesa;Codi;16;2;250083;
Albesa;Altitud (m);16;3;237;
Albesa;Superfície (km²);16;4;37,61;
Albesa;Població;16;5;1582;
Albi, l';Comarca;17;1;Garrigues;
Albi, l';Codi;17;2;250096;
Albi, l';Altitud (m);17;3;526;
Albi, l';Superfície (km²);17;4;32,54;
Albi, l';Població;17;5;764;
Albinyana;Comarca;18;1;Baix Penedès;
Albinyana;Codi;18;2;430022;
Albinyana;Altitud (m);18;3;198;
Albinyana;Superfície (km²);18;4;19,37;
Albinyana;Població;18;5;2718;
Albiol, l';Comarca;19;1;Baix Camp;
Albiol, l';Codi;19;2;430038;
Albiol, l';Altitud (m);19;3;823;
Albiol, l';Superfície (km²);19;4;20,34;
Albiol, l';Població;19;5;556;
Albons;Comarca;20;1;Baix Empordà;
Albons;Codi;20;2;170046;
Albons;Altitud (m);20;3;25;
Albons;Superfície (km²);20;4;11,13;
Albons;Població;20;5;852;
Alcanar;Comarca;21;1;Montsià;
Alcanar;Codi;21;2;430043;
Alcanar;Altitud (m);21;3;72;
Alcanar;Superfície (km²);21;4;47,07;
Alcanar;Població;21;5;10048;
Alcanó;Comarca;22;1;Segrià;
Alcanó;Codi;22;2;250100;
Alcanó;Altitud (m);22;3;214;
Alcanó;Superfície (km²);22;4;21,03;
Alcanó;Població;22;5;247;
Alcarràs;Comarca;23;1;Segrià;
Alcarràs;Codi;23;2;250117;
Alcarràs;Altitud (m);23;3;137;
Alcarràs;Superfície (km²);23;4;114,29;
Alcarràs;Població;23;5;10556;
Alcoletge;Comarca;24;1;Segrià;
Alcoletge;Codi;24;2;250122;
Alcoletge;Altitud (m);24;3;213;
Alcoletge;Superfície (km²);24;4;16,7;
Alcoletge;Població;24;5;3679;
Alcover;Comarca;25;1;Alt Camp;
Alcover;Codi;25;2;430056;
Alcover;Altitud (m);25;3;243;
Alcover;Superfície (km²);25;4;46;
Alcover;Població;25;5;5357;
Aldea, l';Comarca;26;1;Baix Ebre;
Aldea, l';Codi;26;2;439044;
Aldea, l';Altitud (m);26;3;9;
Aldea, l';Superfície (km²);26;4;35,21;
Aldea, l';Població;26;5;4725;
Aldover;Comarca;27;1;Baix Ebre;
Aldover;Codi;27;2;430069;
Aldover;Altitud (m);27;3;14;
Aldover;Superfície (km²);27;4;20,2;
Aldover;Població;27;5;910;
Aleixar, l';Comarca;28;1;Baix Camp;
Aleixar, l';Codi;28;2;430075;
Aleixar, l';Altitud (m);28;3;262;
Aleixar, l';Superfície (km²);28;4;26,1;
Aleixar, l';Població;28;5;1026;
Alella;Comarca;29;1;Maresme;
Alella;Codi;29;2;80039;
Alella;Altitud (m);29;3;90;
Alella;Superfície (km²);29;4;9,58;
Alella;Població;29;5;10251;
Alfara de Carles;Comarca;30;1;Baix Ebre;
Alfara de Carles;Codi;30;2;430081;
Alfara de Carles;Altitud (m);30;3;334;
Alfara de Carles;Superfície (km²);30;4;63,87;
Alfara de Carles;Població;30;5;355;
Alfarràs;Comarca;31;1;Segrià;
Alfarràs;Codi;31;2;250138;
Alfarràs;Altitud (m);31;3;281;
Alfarràs;Superfície (km²);31;4;11,4;
Alfarràs;Població;31;5;2790;
Alfés;Comarca;32;1;Segrià;
Alfés;Codi;32;2;250143;
Alfés;Altitud (m);32;3;236;
Alfés;Superfície (km²);32;4;31,94;
Alfés;Població;32;5;284;
Alforja;Comarca;33;1;Baix Camp;
Alforja;Codi;33;2;430094;
Alforja;Altitud (m);33;3;374;
Alforja;Superfície (km²);33;4;38,24;
Alforja;Població;33;5;2031;
Algerri;Comarca;34;1;Noguera;
Algerri;Codi;34;2;250156;
Algerri;Altitud (m);34;3;345;
Algerri;Superfície (km²);34;4;54,32;
Algerri;Població;34;5;424;
Alguaire;Comarca;35;1;Segrià;
Alguaire;Codi;35;2;250169;
Alguaire;Altitud (m);35;3;304;
Alguaire;Superfície (km²);35;4;50,11;
Alguaire;Població;35;5;3057;
Alins;Comarca;36;1;Pallars Sobirà;
Alins;Codi;36;2;250175;
Alins;Altitud (m);36;3;1048;
Alins;Superfície (km²);36;4;183,19;
Alins;Població;36;5;270;
Alió;Comarca;37;1;Alt Camp;
Alió;Codi;37;2;430108;
Alió;Altitud (m);37;3;263;
Alió;Superfície (km²);37;4;7,25;
Alió;Població;37;5;499;
Almacelles;Comarca;38;1;Segrià;
Almacelles;Codi;38;2;250194;
Almacelles;Altitud (m);38;3;247;
Almacelles;Superfície (km²);38;4;49,03;
Almacelles;Població;38;5;7197;
Almatret;Comarca;39;1;Segrià;
Almatret;Codi;39;2;250208;
Almatret;Altitud (m);39;3;462;
Almatret;Superfície (km²);39;4;56,83;
Almatret;Població;39;5;292;
Almenar;Comarca;40;1;Segrià;
Almenar;Codi;40;2;250215;
Almenar;Altitud (m);40;3;329;
Almenar;Superfície (km²);40;4;66,59;
Almenar;Població;40;5;3357;
Almoster;Comarca;41;1;Baix Camp;
Almoster;Codi;41;2;430115;
Almoster;Altitud (m);41;3;290;
Almoster;Superfície (km²);41;4;5,96;
Almoster;Població;41;5;1383;
Alòs de Balaguer;Comarca;42;1;Noguera;
Alòs de Balaguer;Codi;42;2;250220;
Alòs de Balaguer;Altitud (m);42;3;297;
Alòs de Balaguer;Superfície (km²);42;4;69,08;
Alòs de Balaguer;Població;42;5;117;
Alp;Comarca;43;1;Cerdanya;
Alp;Codi;43;2;170062;
Alp;Altitud (m);43;3;1158;
Alp;Superfície (km²);43;4;44,29;
Alp;Població;43;5;1724;
Alpens;Comarca;44;1;Lluçanès;
Alpens;Codi;44;2;80044;
Alpens;Altitud (m);44;3;855;
Alpens;Superfície (km²);44;4;13,8;
Alpens;Població;44;5;267;
Alpicat;Comarca;45;1;Segrià;
Alpicat;Codi;45;2;250236;
Alpicat;Altitud (m);45;3;264;
Alpicat;Superfície (km²);45;4;15,33;
Alpicat;Població;45;5;6556;
Alt Àneu;Comarca;46;1;Pallars Sobirà;
Alt Àneu;Codi;46;2;250241;
Alt Àneu;Altitud (m);46;3;1076;
Alt Àneu;Superfície (km²);46;4;217,76;
Alt Àneu;Població;46;5;456;
Altafulla;Comarca;47;1;Tarragonès;
Altafulla;Codi;47;2;430120;
Altafulla;Altitud (m);47;3;52;
Altafulla;Superfície (km²);47;4;6,95;
Altafulla;Població;47;5;5856;
Amer;Comarca;48;1;Selva;
Amer;Codi;48;2;170078;
Amer;Altitud (m);48;3;186;
Amer;Superfície (km²);48;4;40,08;
Amer;Població;48;5;2419;
Ametlla de Mar, l';Comarca;49;1;Baix Ebre;
Ametlla de Mar, l';Codi;49;2;430136;
Ametlla de Mar, l';Altitud (m);49;3;19;
Ametlla de Mar, l';Superfície (km²);49;4;66,86;
Ametlla de Mar, l';Població;49;5;7436;
Ametlla del Vallès, l';Comarca;50;1;Vallès Oriental;
Ametlla del Vallès, l';Codi;50;2;80057;
Ametlla del Vallès, l';Altitud (m);50;3;281;
Ametlla del Vallès, l';Superfície (km²);50;4;14,24;
Ametlla del Vallès, l';Població;50;5;9473;
Ampolla, l';Comarca;51;1;Baix Ebre;
Ampolla, l';Codi;51;2;439060;
Ampolla, l';Altitud (m);51;3;8;
Ampolla, l';Superfície (km²);51;4;35,65;
Ampolla, l';Població;51;5;3809;
Amposta;Comarca;52;1;Montsià;
Amposta;Codi;52;2;430141;
Amposta;Altitud (m);52;3;8;
Amposta;Superfície (km²);52;4;138,31;
Amposta;Població;52;5;23047;
Anglès;Comarca;53;1;Selva;
Anglès;Codi;53;2;170084;
Anglès;Altitud (m);53;3;181;
Anglès;Superfície (km²);53;4;16,31;
Anglès;Població;53;5;5904;
Anglesola;Comarca;54;1;Urgell;
Anglesola;Codi;54;2;250273;
Anglesola;Altitud (m);54;3;335;
Anglesola;Superfície (km²);54;4;23,53;
Anglesola;Població;54;5;1395;
Arbeca;Comarca;55;1;Garrigues;
Arbeca;Codi;55;2;250292;
Arbeca;Altitud (m);55;3;332;
Arbeca;Superfície (km²);55;4;58,34;
Arbeca;Població;55;5;2166;
Arboç, l';Comarca;56;1;Baix Penedès;
Arboç, l';Codi;56;2;430167;
Arboç, l';Altitud (m);56;3;166;
Arboç, l';Superfície (km²);56;4;14,13;
Arboç, l';Població;56;5;5701;
Arbolí;Comarca;57;1;Baix Camp;
Arbolí;Codi;57;2;430154;
Arbolí;Altitud (m);57;3;714;
Arbolí;Superfície (km²);57;4;20,78;
Arbolí;Població;57;5;138;
Arbúcies;Comarca;58;1;Selva;
Arbúcies;Codi;58;2;170097;
Arbúcies;Altitud (m);58;3;291;
Arbúcies;Superfície (km²);58;4;86,22;
Arbúcies;Població;58;5;6635;
Arenys de Mar;Comarca;59;1;Maresme;
Arenys de Mar;Codi;59;2;80060;
Arenys de Mar;Altitud (m);59;3;10;
Arenys de Mar;Superfície (km²);59;4;6,75;
Arenys de Mar;Població;59;5;16982;
Arenys de Munt;Comarca;60;1;Maresme;
Arenys de Munt;Codi;60;2;80076;
Arenys de Munt;Altitud (m);60;3;121;
Arenys de Munt;Superfície (km²);60;4;21,29;
Arenys de Munt;Població;60;5;9527;
Argelaguer;Comarca;61;1;Garrotxa;
Argelaguer;Codi;61;2;170101;
Argelaguer;Altitud (m);61;3;183;
Argelaguer;Superfície (km²);61;4;12,54;
Argelaguer;Població;61;5;467;
Argençola;Comarca;62;1;Anoia;
Argençola;Codi;62;2;80082;
Argençola;Altitud (m);62;3;716;
Argençola;Superfície (km²);62;4;47,09;
Argençola;Població;62;5;245;
Argentera, l';Comarca;63;1;Baix Camp;
Argentera, l';Codi;63;2;430173;
Argentera, l';Altitud (m);63;3;344;
Argentera, l';Superfície (km²);63;4;10,12;
Argentera, l';Població;63;5;139;
Argentona;Comarca;64;1;Maresme;
Argentona;Codi;64;2;80095;
Argentona;Altitud (m);64;3;88;
Argentona;Superfície (km²);64;4;25,4;
Argentona;Població;64;5;12891;
Armentera, l';Comarca;65;1;Alt Empordà;
Armentera, l';Codi;65;2;170118;
Armentera, l';Altitud (m);65;3;7;
Armentera, l';Superfície (km²);65;4;5,6;
Armentera, l';Població;65;5;1076;
Arnes;Comarca;66;1;Terra Alta;
Arnes;Codi;66;2;430189;
Arnes;Altitud (m);66;3;506;
Arnes;Superfície (km²);66;4;42,97;
Arnes;Població;66;5;460;
Arres;Comarca;67;1;Aran;
Arres;Codi;67;2;250313;
Arres;Altitud (m);67;3;1224;
Arres;Superfície (km²);67;4;11,57;
Arres;Població;67;5;58;
Arsèguel;Comarca;68;1;Alt Urgell;
Arsèguel;Codi;68;2;250328;
Arsèguel;Altitud (m);68;3;950;
Arsèguel;Superfície (km²);68;4;10,59;
Arsèguel;Població;68;5;85;
Artés;Comarca;69;1;Bages;
Artés;Codi;69;2;80109;
Artés;Altitud (m);69;3;316;
Artés;Superfície (km²);69;4;17,87;
Artés;Població;69;5;6211;
Artesa de Lleida;Comarca;70;1;Segrià;
Artesa de Lleida;Codi;70;2;250334;
Artesa de Lleida;Altitud (m);70;3;202;
Artesa de Lleida;Superfície (km²);70;4;23,94;
Artesa de Lleida;Població;70;5;1545;
Artesa de Segre;Comarca;71;1;Noguera;
Artesa de Segre;Codi;71;2;250349;
Artesa de Segre;Altitud (m);71;3;318;
Artesa de Segre;Superfície (km²);71;4;175,9;
Artesa de Segre;Població;71;5;3594;
Ascó;Comarca;72;1;Ribera d'Ebre;
Ascó;Codi;72;2;430192;
Ascó;Altitud (m);72;3;70;
Ascó;Superfície (km²);72;4;73,63;
Ascó;Població;72;5;1594;
Aspa;Comarca;73;1;Segrià;
Aspa;Codi;73;2;250365;
Aspa;Altitud (m);73;3;256;
Aspa;Superfície (km²);73;4;10,21;
Aspa;Població;73;5;232;
Avellanes i Santa Linya, les;Comarca;74;1;Noguera;
Avellanes i Santa Linya, les;Codi;74;2;250371;
Avellanes i Santa Linya, les;Altitud (m);74;3;567;
Avellanes i Santa Linya, les;Superfície (km²);74;4;102,96;
Avellanes i Santa Linya, les;Població;74;5;434;
Avià;Comarca;75;1;Berguedà;
Avià;Codi;75;2;80116;
Avià;Altitud (m);75;3;677;
Avià;Superfície (km²);75;4;27,23;
Avià;Població;75;5;2263;
Avinyó;Comarca;76;1;Bages;
Avinyó;Codi;76;2;80121;
Avinyó;Altitud (m);76;3;353;
Avinyó;Superfície (km²);76;4;63,23;
Avinyó;Població;76;5;2325;
Avinyonet de Puigventós;Comarca;77;1;Alt Empordà;
Avinyonet de Puigventós;Codi;77;2;170123;
Avinyonet de Puigventós;Altitud (m);77;3;70;
Avinyonet de Puigventós;Superfície (km²);77;4;12,3;
Avinyonet de Puigventós;Població;77;5;1669;
Avinyonet del Penedès;Comarca;78;1;Alt Penedès;
Avinyonet del Penedès;Codi;78;2;80137;
Avinyonet del Penedès;Altitud (m);78;3;280;
Avinyonet del Penedès;Superfície (km²);78;4;29,13;
Avinyonet del Penedès;Població;78;5;1787;
Badalona;Comarca;79;1;Barcelonès;
Badalona;Codi;79;2;80155;
Badalona;Altitud (m);79;3;6;
Badalona;Superfície (km²);79;4;21,18;
Badalona;Població;79;5;230642;
Badia del Vallès;Comarca;80;1;Vallès Occidental;
Badia del Vallès;Codi;80;2;89045;
Badia del Vallès;Altitud (m);80;3;120;
Badia del Vallès;Superfície (km²);80;4;0,93;
Badia del Vallès;Població;80;5;13058;
Bagà;Comarca;81;1;Berguedà;
Bagà;Codi;81;2;80168;
Bagà;Altitud (m);81;3;785;
Bagà;Superfície (km²);81;4;43,13;
Bagà;Població;81;5;2167;
Baix Pallars;Comarca;82;1;Pallars Sobirà;
Baix Pallars;Codi;82;2;250390;
Baix Pallars;Altitud (m);82;3;591;
Baix Pallars;Superfície (km²);82;4;129,41;
Baix Pallars;Població;82;5;350;
Balaguer;Comarca;83;1;Noguera;
Balaguer;Codi;83;2;250404;
Balaguer;Altitud (m);83;3;233;
Balaguer;Superfície (km²);83;4;57,32;
Balaguer;Població;83;5;17667;
Balenyà;Comarca;84;1;Osona;
Balenyà;Codi;84;2;80174;
Balenyà;Altitud (m);84;3;587;
Balenyà;Superfície (km²);84;4;17,35;
Balenyà;Població;84;5;4007;
Balsareny;Comarca;85;1;Bages;
Balsareny;Codi;85;2;80180;
Balsareny;Altitud (m);85;3;327;
Balsareny;Superfície (km²);85;4;36,91;
Balsareny;Població;85;5;3354;
Banyeres del Penedès;Comarca;86;1;Baix Penedès;
Banyeres del Penedès;Codi;86;2;430206;
Banyeres del Penedès;Altitud (m);86;3;173;
Banyeres del Penedès;Superfície (km²);86;4;12,19;
Banyeres del Penedès;Població;86;5;3392;
Banyoles;Comarca;87;1;Pla de l'Estany;
Banyoles;Codi;87;2;170157;
Banyoles;Altitud (m);87;3;172;
Banyoles;Superfície (km²);87;4;11,05;
Banyoles;Població;87;5;20887;
Barbens;Comarca;88;1;Pla d'Urgell;
Barbens;Codi;88;2;250411;
Barbens;Altitud (m);88;3;283;
Barbens;Superfície (km²);88;4;7,56;
Barbens;Població;88;5;910;
Barberà de la Conca;Comarca;89;1;Conca de Barberà;
Barberà de la Conca;Codi;89;2;430213;
Barberà de la Conca;Altitud (m);89;3;475;
Barberà de la Conca;Superfície (km²);89;4;26,6;
Barberà de la Conca;Població;89;5;486;
Barberà del Vallès;Comarca;90;1;Vallès Occidental;
Barberà del Vallès;Codi;90;2;82520;
Barberà del Vallès;Altitud (m);90;3;146;
Barberà del Vallès;Superfície (km²);90;4;8,31;
Barberà del Vallès;Població;90;5;34031;
Barcelona;Comarca;91;1;Barcelonès;
Barcelona;Codi;91;2;80193;
Barcelona;Altitud (m);91;3;9;
Barcelona;Superfície (km²);91;4;101,35;
Barcelona;Població;91;5;1713247;
Baronia de Rialb, la;Comarca;92;1;Noguera;
Baronia de Rialb, la;Codi;92;2;250426;
Baronia de Rialb, la;Altitud (m);92;3;388;
Baronia de Rialb, la;Superfície (km²);92;4;145,08;
Baronia de Rialb, la;Població;92;5;216;
Bàscara;Comarca;93;1;Alt Empordà;
Bàscara;Codi;93;2;170160;
Bàscara;Altitud (m);93;3;66;
Bàscara;Superfície (km²);93;4;17,5;
Bàscara;Població;93;5;1048;
Bassella;Comarca;94;1;Alt Urgell;
Bassella;Codi;94;2;250447;
Bassella;Altitud (m);94;3;423;
Bassella;Superfície (km²);94;4;70,25;
Bassella;Població;94;5;215;
Batea;Comarca;95;1;Terra Alta;
Batea;Codi;95;2;430228;
Batea;Altitud (m);95;3;376;
Batea;Superfície (km²);95;4;128,41;
Batea;Població;95;5;1873;
Bausen;Comarca;96;1;Aran;
Bausen;Codi;96;2;250450;
Bausen;Altitud (m);96;3;931;
Bausen;Superfície (km²);96;4;17,72;
Bausen;Població;96;5;62;
Begues;Comarca;97;1;Baix Llobregat;
Begues;Codi;97;2;80207;
Begues;Altitud (m);97;3;399;
Begues;Superfície (km²);97;4;50,44;
Begues;Població;97;5;7545;
Begur;Comarca;98;1;Baix Empordà;
Begur;Codi;98;2;170139;
Begur;Altitud (m);98;3;200;
Begur;Superfície (km²);98;4;20,66;
Begur;Població;98;5;4286;
Belianes;Comarca;99;1;Urgell;
Belianes;Codi;99;2;250463;
Belianes;Altitud (m);99;3;373;
Belianes;Superfície (km²);99;4;15,69;
Belianes;Població;99;5;512;
Bellaguarda;Comarca;100;1;Garrigues;
Bellaguarda;Codi;100;2;251706;
Bellaguarda;Altitud (m);100;3;640;
Bellaguarda;Superfície (km²);100;4;17,14;
Bellaguarda;Població;100;5;287;
Bellcaire d'Empordà;Comarca;101;1;Baix Empordà;
Bellcaire d'Empordà;Codi;101;2;170182;
Bellcaire d'Empordà;Altitud (m);101;3;35;
Bellcaire d'Empordà;Superfície (km²);101;4;12,64;
Bellcaire d'Empordà;Població;101;5;722;
Bellcaire d'Urgell;Comarca;102;1;Noguera;
Bellcaire d'Urgell;Codi;102;2;250479;
Bellcaire d'Urgell;Altitud (m);102;3;267;
Bellcaire d'Urgell;Superfície (km²);102;4;31,38;
Bellcaire d'Urgell;Població;102;5;1272;
Bell-lloc d'Urgell;Comarca;103;1;Pla d'Urgell;
Bell-lloc d'Urgell;Codi;103;2;250485;
Bell-lloc d'Urgell;Altitud (m);103;3;196;
Bell-lloc d'Urgell;Superfície (km²);103;4;34,92;
Bell-lloc d'Urgell;Població;103;5;2359;
Bellmunt d'Urgell;Comarca;104;1;Noguera;
Bellmunt d'Urgell;Codi;104;2;250498;
Bellmunt d'Urgell;Altitud (m);104;3;379;
Bellmunt d'Urgell;Superfície (km²);104;4;5,11;
Bellmunt d'Urgell;Població;104;5;174;
Bellmunt del Priorat;Comarca;105;1;Priorat;
Bellmunt del Priorat;Codi;105;2;430234;
Bellmunt del Priorat;Altitud (m);105;3;261;
Bellmunt del Priorat;Superfície (km²);105;4;8,86;
Bellmunt del Priorat;Població;105;5;288;
Bellprat;Comarca;106;1;Anoia;
Bellprat;Codi;106;2;80214;
Bellprat;Altitud (m);106;3;653;
Bellprat;Superfície (km²);106;4;30,97;
Bellprat;Població;106;5;69;
Bellpuig;Comarca;107;1;Urgell;
Bellpuig;Codi;107;2;250501;
Bellpuig;Altitud (m);107;3;308;
Bellpuig;Superfície (km²);107;4;34,98;
Bellpuig;Població;107;5;5531;
Bellvei;Comarca;108;1;Baix Penedès;
Bellvei;Codi;108;2;430249;
Bellvei;Altitud (m);108;3;108;
Bellvei;Superfície (km²);108;4;8,27;
Bellvei;Població;108;5;2464;
Bellver de Cerdanya;Comarca;109;1;Cerdanya;
Bellver de Cerdanya;Codi;109;2;250518;
Bellver de Cerdanya;Altitud (m);109;3;1061;
Bellver de Cerdanya;Superfície (km²);109;4;98,15;
Bellver de Cerdanya;Població;109;5;2289;
Bellvís;Comarca;110;1;Pla d'Urgell;
Bellvís;Codi;110;2;250523;
Bellvís;Altitud (m);110;3;207;
Bellvís;Superfície (km²);110;4;46,7;
Bellvís;Població;110;5;2239;
Benavent de Segrià;Comarca;111;1;Segrià;
Benavent de Segrià;Codi;111;2;250539;
Benavent de Segrià;Altitud (m);111;3;234;
Benavent de Segrià;Superfície (km²);111;4;7,43;
Benavent de Segrià;Població;111;5;1565;
Benifallet;Comarca;112;1;Baix Ebre;
Benifallet;Codi;112;2;430252;
Benifallet;Altitud (m);112;3;19;
Benifallet;Superfície (km²);112;4;62,42;
Benifallet;Població;112;5;708;
Benissanet;Comarca;113;1;Ribera d'Ebre;
Benissanet;Codi;113;2;430265;
Benissanet;Altitud (m);113;3;26;
Benissanet;Superfície (km²);113;4;23,06;
Benissanet;Població;113;5;1191;
Berga;Comarca;114;1;Berguedà;
Berga;Codi;114;2;80229;
Berga;Altitud (m);114;3;704;
Berga;Superfície (km²);114;4;22,57;
Berga;Població;114;5;17539;
Besalú;Comarca;115;1;Garrotxa;
Besalú;Codi;115;2;170195;
Besalú;Altitud (m);115;3;151;
Besalú;Superfície (km²);115;4;4,93;
Besalú;Població;115;5;2591;
Bescanó;Comarca;116;1;Gironès;
Bescanó;Codi;116;2;170209;
Bescanó;Altitud (m);116;3;102;
Bescanó;Superfície (km²);116;4;35,92;
Bescanó;Població;116;5;5087;
Beuda;Comarca;117;1;Garrotxa;
Beuda;Codi;117;2;170216;
Beuda;Altitud (m);117;3;338;
Beuda;Superfície (km²);117;4;35,91;
Beuda;Població;117;5;202;
Bigues i Riells del Fai;Comarca;118;1;Vallès Oriental;
Bigues i Riells del Fai;Codi;118;2;80235;
Bigues i Riells del Fai;Altitud (m);118;3;307;
Bigues i Riells del Fai;Superfície (km²);118;4;28,64;
Bigues i Riells del Fai;Població;118;5;10124;
Biosca;Comarca;119;1;Solsonès;
Biosca;Codi;119;2;250557;
Biosca;Altitud (m);119;3;455;
Biosca;Superfície (km²);119;4;66,21;
Biosca;Població;119;5;185;
Bisbal d'Empordà, la;Comarca;120;1;Baix Empordà;
Bisbal d'Empordà, la;Codi;120;2;170221;
Bisbal d'Empordà, la;Altitud (m);120;3;39;
Bisbal d'Empordà, la;Superfície (km²);120;4;20,62;
Bisbal d'Empordà, la;Població;120;5;11731;
La Bisbal de Montsant;Comarca;121;1;Priorat;
La Bisbal de Montsant;Codi;121;2;430271;
La Bisbal de Montsant;Altitud (m);121;3;372;
La Bisbal de Montsant;Superfície (km²);121;4;14,14;
La Bisbal de Montsant;Població;121;5;214;
Bisbal del Penedès, la;Comarca;122;1;Baix Penedès;
Bisbal del Penedès, la;Codi;122;2;430287;
Bisbal del Penedès, la;Altitud (m);122;3;189;
Bisbal del Penedès, la;Superfície (km²);122;4;32,54;
Bisbal del Penedès, la;Població;122;5;4270;
Biure;Comarca;123;1;Alt Empordà;
Biure;Codi;123;2;172348;
Biure;Altitud (m);123;3;81;
Biure;Superfície (km²);123;4;10,02;
Biure;Població;123;5;227;
Blancafort;Comarca;124;1;Conca de Barberà;
Blancafort;Codi;124;2;430290;
Blancafort;Altitud (m);124;3;428;
Blancafort;Superfície (km²);124;4;14,48;
